Id;Title;Year;Budget;UnivName;UnivZIP;State
1600884;DISSERTATION RESEARCH: Investigating the Joint Effects of Phylogeny and Adaptation on Phenotypic Variation at a Continental Scale (Serpentes:Thamnophis);2016;20086.0;University of Washington;981950001;WA
1600890;Broadband Seismological Observations of Aftershocks of the September 16, 2015 Mw 8.3 Illapel Earthquake, Chile;2015;99990.0;University of Florida;326112002;FL
1600896;CAREER: Approximate Computing Systems for Future Teraflops Workloads;2015;91231.0;University of Illinois at Urbana-Champaign;618207473;IL
1600897;DISSERTATION RESEARCH: The relative roles of selection and constraint in convergent ear loss across the true toads (Bufonidae);2016;19630.0;Colorado State University;805232002;CO
1600899;DISSERTATION RESEARCH:   Investigating the evolution of phalangerid marsupials in Sulawesi by incorporating morphology, molecular phylogenomics and biogeographical modeling;2016;16390.0;George Mason University;220304422;VA
1600901;Operator Algebras before and after Jiang-Su Stability;2016;180000.0;Purdue University;479072114;IN
1600902;EAGER Collaborative Research: Exploring dust impacts on terrestrial ecosystem processes using an innovative and integrated approach;2015;36586.0;University of North Texas;762035017;TX
1600903;ORTHOGONAL POLYNOMIALS AND SPECIAL FUNCTIONS SUMMER SCHOOL;2016;45000.0;University of Maryland College Park;207425141;MD
1600904;Descriptive Set Theory and Measured Group Theory;2016;150000.0;Texas A&M University Main Campus;778454375;TX
1600907;Research Initiation Award: Magnetic Field Mapping of Pico/Nano/Micro-Satellites to Facilitate Refinement of their Guidance/Navigation Systems and Magnetic Cleanliness;2016;299907.0;Tuskegee University;360881923;AL
1600911;Workshop on the Feasibility of a National Brain Observatory, 16 Oct 2015;2015;47560.0;University of Chicago;606375418;IL
1600919;Research Initiation Award: Leveraging Protein Structure Determination: An Efficient Algorithmic Approach;2016;300000.0;Tennessee State University;372091561;TN
1600920;DISSERTATION RESEARCH:   Mutant models reveal latent developmental potential with roles in evolutionary change;2016;18867.0;Harvard University;021385366;MA
1600927;360 Manufacturing and Applied Engineering ATE Regional Center;2016;2551618.0;Bemidji State University;566012699;MN
1600931;EAGER:  Collaborative Research:  Development of an isotope-enabled reactive transport tool to simulate carbon transformations in karst environments;2016;45288.0;University of Illinois at Urbana-Champaign;618207473;IL
